"The data was provided by Prof Monty Pride, Oceanlab, University of Aberdeen, Aberdeen, UK"							
							Graph
"1552,38"	"24,78"	7	"49,8517"	"-13,0368"			
650	"24,26"	7	"49,8517"	"-13,0368"			
"963,87"	"23,03"	7	"49,8517"	"-13,0368"			
"689,23"	"22,68"	7	"49,8517"	"-13,0368"			
"1003,11"	"22,5"	7	"49,8517"	"-13,0368"			
"1042,34"	"21,8"	7	"49,8517"	"-13,0368"			
"728,47"	"20,92"	7	"49,8517"	"-13,0368"			
"924,64"	"18,98"	7	"49,8517"	"-13,0368"			
"767,7"	"17,58"	7	"49,8517"	"-13,0368"			
"806,94"	"17,09"	7	"49,8517"	"-13,0368"			
"1748,55"	"16,35"	7	"49,8517"	"-13,0368"			
"1866,26"	"15,82"	7	"49,8517"	"-13,0368"			
"1905,49"	"14,55"	7	"49,8517"	"-13,0368"			
"2101,66"	"14,24"	7	"49,8517"	"-13,0368"			
"2023,19"	"13,89"	7	"49,8517"	"-13,0368"			
"2062,43"	"11,78"	7	"49,8517"	"-13,0368"			
"1787,79"	"11,25"	7	"49,8517"	"-13,0368"			
"1827,02"	"9,84"	7	"49,8517"	"-13,0368"			
"2140,89"	"6,15"	7	"49,8517"	"-13,0368"			
"2180,13"	"5,48"	7	"49,8517"	"-13,0368"			
"2337,06"	"4,39"	7	"49,8517"	"-13,0368"			
"2297,83"	"3,87"	7	"49,8517"	"-13,0368"			
"2376,3"	"3,34"	7	"49,8517"	"-13,0368"			
"2454,77"	"2,95"	7	"49,8517"	"-13,0368"			
"2415,53"	"1,76"	7	"49,8517"	"-13,0368"			
1417	"39,43"	8	"49,8515"	"-13,047"			
1167	"37,91"	8	"49,8515"	"-13,047"			
1452	"35,93"	8	"49,8515"	"-13,047"			
1276	"35,78"	8	"49,8515"	"-13,047"			
1521	"35,78"	8	"49,8515"	"-13,047"			
1132	"33,49"	8	"49,8515"	"-13,047"			
1203	"32,28"	8	"49,8515"	"-13,047"			
1487	"30,6"	8	"49,8515"	"-13,047"			
1658	"30,14"	8	"49,8515"	"-13,047"			
1239	"29,99"	8	"49,8515"	"-13,047"			
1692	"22,99"	8	"49,8515"	"-13,047"			
682	"20,25"	8	"49,8515"	"-13,047"			
922	"20,1"	8	"49,8515"	"-13,047"			
1760	"19,64"	8	"49,8515"	"-13,047"			
1896	"18,88"	8	"49,8515"	"-13,047"			
957	"18,73"	8	"49,8515"	"-13,047"			
715	"18,57"	8	"49,8515"	"-13,047"			
1930	"17,51"	8	"49,8515"	"-13,047"			
1726	"17,2"	8	"49,8515"	"-13,047"			
749	"16,44"	8	"49,8515"	"-13,047"			
887	"16,14"	8	"49,8515"	"-13,047"			
992	"15,53"	8	"49,8515"	"-13,047"			
1965	"14,62"	8	"49,8515"	"-13,047"			
647	"14,16"	8	"49,8515"	"-13,047"			
1998	"11,57"	8	"49,8515"	"-13,047"			
2133	"8,07"	8	"49,8515"	"-13,047"			
2166	"7,31"	8	"49,8515"	"-13,047"			
2200	"5,48"	8	"49,8515"	"-13,047"			
2234	"4,26"	8	"49,8515"	"-13,047"			
2438	"2,89"	8	"49,8515"	"-13,047"			
2267	"2,59"	8	"49,8515"	"-13,047"			
2505	"1,37"	8	"49,8515"	"-13,047"			
2471	"1,07"	8	"49,8515"	"-13,047"			
2404	"0,76"	8	"49,8515"	"-13,047"			
1300	"31,08"	9	"49,5022"	"-13,7062"			
1369	"25,48"	9	"49,5022"	"-13,7062"			
1127	"25,02"	9	"49,5022"	"-13,7062"			
1335	"24,55"	9	"49,5022"	"-13,7062"			
1195	"22,07"	9	"49,5022"	"-13,7062"			
1231	"21,91"	9	"49,5022"	"-13,7062"			
1503	"21,76"	9	"49,5022"	"-13,7062"			
1161	"21,13"	9	"49,5022"	"-13,7062"			
1402	"20,82"	9	"49,5022"	"-13,7062"			
1435	"20,82"	9	"49,5022"	"-13,7062"			
1469	"20,2"	9	"49,5022"	"-13,7062"			
1056	"19,27"	9	"49,5022"	"-13,7062"			
1091	"18,18"	9	"49,5022"	"-13,7062"			
1636	"18,18"	9	"49,5022"	"-13,7062"			
1536	"17,56"	9	"49,5022"	"-13,7062"			
1020	"16,47"	9	"49,5022"	"-13,7062"			
1569	"16,16"	9	"49,5022"	"-13,7062"			
985	"15,38"	9	"49,5022"	"-13,7062"			
951	"14,45"	9	"49,5022"	"-13,7062"			
1669	"12,59"	9	"49,5022"	"-13,7062"			
1702	"11,81"	9	"49,5022"	"-13,7062"			
1804	"11,03"	9	"49,5022"	"-13,7062"			
1771	"10,88"	9	"49,5022"	"-13,7062"			
1737	"9,32"	9	"49,5022"	"-13,7062"			
1872	"8,24"	9	"49,5022"	"-13,7062"			
1974	"7,15"	9	"49,5022"	"-13,7062"			
1838	"6,06"	9	"49,5022"	"-13,7062"			
1905	"5,9"	9	"49,5022"	"-13,7062"			
2041	"5,59"	9	"49,5022"	"-13,7062"			
2007	"4,66"	9	"49,5022"	"-13,7062"			
2140	"4,66"	9	"49,5022"	"-13,7062"			
2074	"4,2"	9	"49,5022"	"-13,7062"			
2107	"4,2"	9	"49,5022"	"-13,7062"			
2207	"3,57"	9	"49,5022"	"-13,7062"			
2240	"3,57"	9	"49,5022"	"-13,7062"			
2173	"3,42"	9	"49,5022"	"-13,7062"			
2308	"3,42"	9	"49,5022"	"-13,7062"			
2443	"2,18"	9	"49,5022"	"-13,7062"			
2409	"2,02"	9	"49,5022"	"-13,7062"			
2375	"1,86"	9	"49,5022"	"-13,7062"			
2476	"1,86"	9	"49,5022"	"-13,7062"			
2510	"1,71"	9	"49,5022"	"-13,7062"			
2341	"1,55"	9	"49,5022"	"-13,7062"			
2577	"1,4"	9	"49,5022"	"-13,7062"			
2644	"1,4"	9	"49,5022"	"-13,7062"			
2543	"1,24"	9	"49,5022"	"-13,7062"			
2747	"0,93"	9	"49,5022"	"-13,7062"			
2781	"0,93"	9	"49,5022"	"-13,7062"			
2815	"0,93"	9	"49,5022"	"-13,7062"			
2849	"0,93"	9	"49,5022"	"-13,7062"			
2678	"0,78"	9	"49,5022"	"-13,7062"			
2713	"0,78"	9	"49,5022"	"-13,7062"			
2916	"0,47"	9	"49,5022"	"-13,7062"			
2882	"0,16"	9	"49,5022"	"-13,7062"			
2628	"2,32"	10	"48,5665"	"-15,0018"			
2661	"2,01"	10	"48,5665"	"-15,0018"			
2594	"1,7"	10	"48,5665"	"-15,0018"			
2996	"1,7"	10	"48,5665"	"-15,0018"			
3129	"1,39"	10	"48,5665"	"-15,0018"			
2695	"1,23"	10	"48,5665"	"-15,0018"			
2896	"1,23"	10	"48,5665"	"-15,0018"			
3096	"1,23"	10	"48,5665"	"-15,0018"			
3431	"1,08"	10	"48,5665"	"-15,0018"			
3464	"1,08"	10	"48,5665"	"-15,0018"			
2795	"0,93"	10	"48,5665"	"-15,0018"			
3062	"0,93"	10	"48,5665"	"-15,0018"			
3163	"0,93"	10	"48,5665"	"-15,0018"			
3196	"0,93"	10	"48,5665"	"-15,0018"			
3229	"0,93"	10	"48,5665"	"-15,0018"			
3296	"0,93"	10	"48,5665"	"-15,0018"			
3733	"0,93"	10	"48,5665"	"-15,0018"			
4204	"0,93"	10	"48,5665"	"-15,0018"			
2729	"0,77"	10	"48,5665"	"-15,0018"			
3029	"0,77"	10	"48,5665"	"-15,0018"			
3531	"0,77"	10	"48,5665"	"-15,0018"			
2829	"0,62"	10	"48,5665"	"-15,0018"			
2863	"0,62"	10	"48,5665"	"-15,0018"			
2963	"0,62"	10	"48,5665"	"-15,0018"			
3498	"0,62"	10	"48,5665"	"-15,0018"			
3633	"0,62"	10	"48,5665"	"-15,0018"			
3666	"0,62"	10	"48,5665"	"-15,0018"			
3397	"0,46"	10	"48,5665"	"-15,0018"			
3565	"0,46"	10	"48,5665"	"-15,0018"			
3766	"0,46"	10	"48,5665"	"-15,0018"			
3834	"0,46"	10	"48,5665"	"-15,0018"			
3901	"0,46"	10	"48,5665"	"-15,0018"			
4002	"0,46"	10	"48,5665"	"-15,0018"			
4103	"0,46"	10	"48,5665"	"-15,0018"			
4306	"0,46"	10	"48,5665"	"-15,0018"			
2762	"0,31"	10	"48,5665"	"-15,0018"			
3363	"0,31"	10	"48,5665"	"-15,0018"			
3699	"0,31"	10	"48,5665"	"-15,0018"			
3867	"0,31"	10	"48,5665"	"-15,0018"			
3968	"0,31"	10	"48,5665"	"-15,0018"			
4136	"0,31"	10	"48,5665"	"-15,0018"			
4238	"0,31"	10	"48,5665"	"-15,0018"			
3330	"0,15"	10	"48,5665"	"-15,0018"			
4036	"0,15"	10	"48,5665"	"-15,0018"			
4170	"0,15"	10	"48,5665"	"-15,0018"			
4441	"0,15"	10	"48,5665"	"-15,0018"			
4475	"0,15"	10	"48,5665"	"-15,0018"			
3800	0	10	"48,5665"	"-15,0018"			
4069	0	10	"48,5665"	"-15,0018"			
4340	0	10	"48,5665"	"-15,0018"			
4374	0	10	"48,5665"	"-15,0018"			
4408	0	10	"48,5665"	"-15,0018"			
4509	0	10	"48,5665"	"-15,0018"			
4543	0	10	"48,5665"	"-15,0018"			
4577	0	10	"48,5665"	"-15,0018"			
1575	"42,53"	11	"50,0005"	"-13,3845"			
1605	"37,5"	11	"50,0005"	"-13,3845"			
1419	"30,03"	11	"50,0005"	"-13,3845"			
1451	"29,22"	11	"50,0005"	"-13,3845"			
1483	"28,57"	11	"50,0005"	"-13,3845"			
1636	"26,46"	11	"50,0005"	"-13,3845"			
1514	"25,33"	11	"50,0005"	"-13,3845"			
1322	"25,16"	11	"50,0005"	"-13,3845"			
1696	"24,35"	11	"50,0005"	"-13,3845"			
1387	"23,86"	11	"50,0005"	"-13,3845"			
1727	"23,22"	11	"50,0005"	"-13,3845"			
1758	"21,92"	11	"50,0005"	"-13,3845"			
1790	"21,59"	11	"50,0005"	"-13,3845"			
1354	"20,46"	11	"50,0005"	"-13,3845"			
1289	"20,29"	11	"50,0005"	"-13,3845"			
1666	"20,13"	11	"50,0005"	"-13,3845"			
1821	"19,48"	11	"50,0005"	"-13,3845"			
1884	"18,67"	11	"50,0005"	"-13,3845"			
1257	"18,34"	11	"50,0005"	"-13,3845"			
1192	"18,18"	11	"50,0005"	"-13,3845"			
1916	"16,88"	11	"50,0005"	"-13,3845"			
1095	"15,58"	11	"50,0005"	"-13,3845"			
1030	"15,26"	11	"50,0005"	"-13,3845"			
930	"15,1"	11	"50,0005"	"-13,3845"			
1128	"15,1"	11	"50,0005"	"-13,3845"			
1160	"14,45"	11	"50,0005"	"-13,3845"			
1062	"13,96"	11	"50,0005"	"-13,3845"			
2333	"13,64"	11	"50,0005"	"-13,3845"			
997	"12,99"	11	"50,0005"	"-13,3845"			
1947	"12,34"	11	"50,0005"	"-13,3845"			
2010	"11,04"	11	"50,0005"	"-13,3845"			
2074	"10,39"	11	"50,0005"	"-13,3845"			
1978	"10,07"	11	"50,0005"	"-13,3845"			
2235	"9,58"	11	"50,0005"	"-13,3845"			
963	"9,42"	11	"50,0005"	"-13,3845"			
2365	"8,28"	11	"50,0005"	"-13,3845"			
2527	"8,28"	11	"50,0005"	"-13,3845"			
2301	"8,12"	11	"50,0005"	"-13,3845"			
2430	"7,95"	11	"50,0005"	"-13,3845"			
2397	"7,79"	11	"50,0005"	"-13,3845"			
2268	"7,31"	11	"50,0005"	"-13,3845"			
2107	"6,82"	11	"50,0005"	"-13,3845"			
2042	"6,49"	11	"50,0005"	"-13,3845"			
2203	"6,49"	11	"50,0005"	"-13,3845"			
2463	"6,01"	11	"50,0005"	"-13,3845"			
2558	"5,19"	11	"50,0005"	"-13,3845"			
2139	"4,22"	11	"50,0005"	"-13,3845"			
2622	"4,06"	11	"50,0005"	"-13,3845"			
2653	"4,06"	11	"50,0005"	"-13,3845"			
2716	"2,44"	11	"50,0005"	"-13,3845"			
2748	"1,95"	11	"50,0005"	"-13,3845"			
2590	"1,79"	11	"50,0005"	"-13,3845"			
2685	"1,46"	11	"50,0005"	"-13,3845"			
692	"13,59"	12	"49,751"	"-13,9447"			
836	"12,58"	12	"49,751"	"-13,9447"			
801	"10,84"	12	"49,751"	"-13,9447"			
765	"10,56"	12	"49,751"	"-13,9447"			
728	"9,98"	12	"49,751"	"-13,9447"			
1127	"9,4"	12	"49,751"	"-13,9447"			
1091	"9,11"	12	"49,751"	"-13,9447"			
1166	"8,39"	12	"49,751"	"-13,9447"			
1201	"6,07"	12	"49,751"	"-13,9447"			
1239	"6,07"	12	"49,751"	"-13,9447"			
1495	"5,49"	12	"49,751"	"-13,9447"			
1532	"4,34"	12	"49,751"	"-13,9447"			
2307	"3,76"	12	"49,751"	"-13,9447"			
1568	"3,47"	12	"49,751"	"-13,9447"			
1604	"3,04"	12	"49,751"	"-13,9447"			
1865	"2,75"	12	"49,751"	"-13,9447"			
2419	"2,75"	12	"49,751"	"-13,9447"			
2382	"2,6"	12	"49,751"	"-13,9447"			
2051	"2,17"	12	"49,751"	"-13,9447"			
2346	"2,17"	12	"49,751"	"-13,9447"			
1902	"2,02"	12	"49,751"	"-13,9447"			
1939	"2,02"	12	"49,751"	"-13,9447"			
2455	"2,02"	12	"49,751"	"-13,9447"			
2861	"1,88"	12	"49,751"	"-13,9447"			
2715	"1,59"	12	"49,751"	"-13,9447"			
2789	"1,59"	12	"49,751"	"-13,9447"			
2753	"1,3"	12	"49,751"	"-13,9447"			
2825	"1,3"	12	"49,751"	"-13,9447"			
3118	"1,3"	12	"49,751"	"-13,9447"			
1977	"1,01"	12	"49,751"	"-13,9447"			
2013	"1,01"	12	"49,751"	"-13,9447"			
3190	"1,01"	12	"49,751"	"-13,9447"			
3154	"0,72"	12	"49,751"	"-13,9447"			
3521	"0,58"	12	"49,751"	"-13,9447"			
3225	"0,43"	12	"49,751"	"-13,9447"			
3265	"0,43"	12	"49,751"	"-13,9447"			
3558	"0,43"	12	"49,751"	"-13,9447"			
3596	"0,43"	12	"49,751"	"-13,9447"			
3629	"0,43"	12	"49,751"	"-13,9447"			
3668	"0,29"	12	"49,751"	"-13,9447"			
543	"33,34"	13	"49,8567"	"-13,962"			
580	"32,57"	13	"49,8567"	"-13,962"			
505	"28,57"	13	"49,8567"	"-13,962"			
617	"26,1"	13	"49,8567"	"-13,962"			
691	"22,29"	13	"49,8567"	"-13,962"			
656	"21,72"	13	"49,8567"	"-13,962"			
766	"17,72"	13	"49,8567"	"-13,962"			
730	"15,24"	13	"49,8567"	"-13,962"			
802	"14,48"	13	"49,8567"	"-13,962"			
840	"13,52"	13	"49,8567"	"-13,962"			
1023	"10,1"	13	"49,8567"	"-13,962"			
913	"9,72"	13	"49,8567"	"-13,962"			
1207	"9,72"	13	"49,8567"	"-13,962"			
1096	"9,33"	13	"49,8567"	"-13,962"			
1355	"9,33"	13	"49,8567"	"-13,962"			
1170	"9,14"	13	"49,8567"	"-13,962"			
1282	"8,95"	13	"49,8567"	"-13,962"			
1060	"8,76"	13	"49,8567"	"-13,962"			
1134	"8,76"	13	"49,8567"	"-13,962"			
1242	"8,76"	13	"49,8567"	"-13,962"			
877	"7,43"	13	"49,8567"	"-13,962"			
1317	"7,43"	13	"49,8567"	"-13,962"			
951	"7,05"	13	"49,8567"	"-13,962"			
1392	"7,05"	13	"49,8567"	"-13,962"			
1730	"5,33"	13	"49,8567"	"-13,962"			
1431	"4,95"	13	"49,8567"	"-13,962"			
2358	"4,19"	13	"49,8567"	"-13,962"			
1879	4	13	"49,8567"	"-13,962"			
1470	"3,24"	13	"49,8567"	"-13,962"			
2066	"3,24"	13	"49,8567"	"-13,962"			
2396	"3,24"	13	"49,8567"	"-13,962"			
2320	"3,05"	13	"49,8567"	"-13,962"			
1805	"2,67"	13	"49,8567"	"-13,962"			
1953	"2,67"	13	"49,8567"	"-13,962"			
2213	"2,67"	13	"49,8567"	"-13,962"			
1768	"2,48"	13	"49,8567"	"-13,962"			
2503	"2,48"	13	"49,8567"	"-13,962"			
2538	"2,48"	13	"49,8567"	"-13,962"			
2578	"2,48"	13	"49,8567"	"-13,962"			
1844	"2,29"	13	"49,8567"	"-13,962"			
2650	"2,29"	13	"49,8567"	"-13,962"			
1991	"2,1"	13	"49,8567"	"-13,962"			
2140	"2,1"	13	"49,8567"	"-13,962"			
2175	"2,1"	13	"49,8567"	"-13,962"			
2687	"2,1"	13	"49,8567"	"-13,962"			
2468	"1,9"	13	"49,8567"	"-13,962"			
1918	"1,71"	13	"49,8567"	"-13,962"			
2029	"1,71"	13	"49,8567"	"-13,962"			
2250	"1,71"	13	"49,8567"	"-13,962"			
2722	"1,71"	13	"49,8567"	"-13,962"			
2758	"1,71"	13	"49,8567"	"-13,962"			
2431	"1,52"	13	"49,8567"	"-13,962"			
2613	"1,52"	13	"49,8567"	"-13,962"			
2102	"1,33"	13	"49,8567"	"-13,962"			
2794	"1,33"	13	"49,8567"	"-13,962"			
2833	"1,33"	13	"49,8567"	"-13,962"			
634	"27,8"	14	"49,555"	"-14,1833"			
599	"27,24"	14	"49,555"	"-14,1833"			
709	"21,46"	14	"49,555"	"-14,1833"			
671	"19,22"	14	"49,555"	"-14,1833"			
781	"17,54"	14	"49,555"	"-14,1833"			
744	"17,35"	14	"49,555"	"-14,1833"			
890	"16,23"	14	"49,555"	"-14,1833"			
854	"15,49"	14	"49,555"	"-14,1833"			
1183	"13,62"	14	"49,555"	"-14,1833"			
1073	"12,87"	14	"49,555"	"-14,1833"			
927	"11,75"	14	"49,555"	"-14,1833"			
818	"11,2"	14	"49,555"	"-14,1833"			
1110	"10,82"	14	"49,555"	"-14,1833"			
1219	"10,64"	14	"49,555"	"-14,1833"			
999	"10,45"	14	"49,555"	"-14,1833"			
1292	"10,26"	14	"49,555"	"-14,1833"			
963	"9,7"	14	"49,555"	"-14,1833"			
1330	"9,7"	14	"49,555"	"-14,1833"			
1035	"9,52"	14	"49,555"	"-14,1833"			
1259	"8,58"	14	"49,555"	"-14,1833"			
1367	"7,09"	14	"49,555"	"-14,1833"			
1402	"6,72"	14	"49,555"	"-14,1833"			
1440	"6,16"	14	"49,555"	"-14,1833"			
2452	"6,16"	14	"49,555"	"-14,1833"			
1547	"5,41"	14	"49,555"	"-14,1833"			
1475	"5,22"	14	"49,555"	"-14,1833"			
1584	"5,22"	14	"49,555"	"-14,1833"			
1511	"4,85"	14	"49,555"	"-14,1833"			
2560	"4,29"	14	"49,555"	"-14,1833"			
2164	"3,92"	14	"49,555"	"-14,1833"			
2487	"3,92"	14	"49,555"	"-14,1833"			
2524	"3,92"	14	"49,555"	"-14,1833"			
1621	"3,73"	14	"49,555"	"-14,1833"			
1911	"3,73"	14	"49,555"	"-14,1833"			
2380	"3,73"	14	"49,555"	"-14,1833"			
1877	"3,17"	14	"49,555"	"-14,1833"			
2201	"3,17"	14	"49,555"	"-14,1833"			
2344	"3,17"	14	"49,555"	"-14,1833"			
2019	"2,99"	14	"49,555"	"-14,1833"			
2275	"2,99"	14	"49,555"	"-14,1833"			
1983	"2,8"	14	"49,555"	"-14,1833"			
